Narrow_Mon_Type,BroadType_Code,Keep_YN
LAMBING PEN,1,
LANDING POINT,17,
LANDING STAGE,17,
LANDSCAPE PARK,7,
LAUNDRY,13,N
LAZY BEDS,,N
LEAD MINE,2,
LEAD SMELTER,2,
LEAD WORKING SITE,2,
LEAD WORKINGS,2,
LEAD WORKS,2,
LEAT,,N
LEGAL OFFICE,,N
LEPER HOSPITAL,,N
LIME KILN,2,
LIMESTONE QUARRY,2,
LINEAR CLEARANCE CAIRN,1,
LINEAR EARTHWORK,8,
LINEAR FEATURE,8,
LITHIC WORKING SITE,2,
LODGE,7,
LOG CABIN,,N
LONG BARROW,3,
LONG CAIRN,3,
LONGHOUSE,1,
LOOSE BOX,1,
LYNCHET,1,
MACHINERY,,N
MALT HOUSE,1,
MALT KILN,2,
MANAGED WOODLAND,1,
MANAGERS HOUSE,2,
MANOR HOUSE,6,
MANSION HOUSE,6,
MANURE SHED,1,
MARKER CAIRN,10,
MARKER STONE,10,
MARKET CROSS,13,
MARKET HOUSE,13,
MEADOW,1,
METHODIST CHAPEL,3,
MIDDEN,1,
MILE PLATE,4,
MILEFORTLET,5,
MILEPOST,4,
MILESTONE,4,
MILKING PARLOUR,1,
MILL,2,
MILL DAM,2,
MILL POND,2,
MILL RACE,2,
MILLSTONE,2,
MINE,2,
MINE BUILDING,2,
MINE SHAFT,2,
MINERAL WATER FACTORY,2,
MOAT,6,
MODEL FARM,1,
MONASTERY,3,
MOORING BOLLARD,,N
MOOT,11,
MOTTE,5,
MOTTE AND BAILEY,5,
MOUND,8,
MUSEUM,11,
NARROW RIDGE AND FURROW,1,
NATURAL FEATURE,8,
NON ANTIQUITY,,N
NONCONFORMIST CHAPEL,3,
NONCONFORMIST MEETING HOUSE,3,
NUCLEAR BUNKER,5,N
NUNNERY,3,
OBELISK,,N
OBSERVATION POST,5,
OBSERVATORY,15,
OFFICE,13,
OPEN FIELD,1,
ORCHARD,1,
ORE WASHING PLANT,2,
ORE WORKS,2,
ORNAMENTAL BRIDGE,4,
ORNAMENTAL POND,7,
OUTBUILDING,1,
OVAL ENCLOSURE,1,
OVEN,2,
PACKHORSE BRIDGE,4,
PACKHORSE ROAD,4,
PACKHORSE SHELTER,4,
PAPER MILL,2,
PARISH BOUNDARY,8,
PARISH CHURCH,3,
PARK,7,
PARK PALE,7,
PARK WALL,7,
PATH,4,
PEAT CUTTING,2,
PEAT EXTRACTION SITE,2,
PEAT STAND,2,
PEAT STORE,2,
PELE TOWER,6,
PEN,11,
PENCIL MILL,2,
PHEASANTRY,9,
PIER,17,
PIGGERY,1,
PIGSTY,1,
PILLBOX,5,
PILLOW MOUND,1,
PIPELINE,2,
PIT,8,
PIT ALIGNMENT,3,
PLAGUE PIT,3,
PLANTATION,,N
PLAQUE,12,
PLATFORM,1,
PLOUGH HEADLAND,1,
POND,1,
POST OFFICE,13,
POTASH KILN,2,
POTTERY KILN,2,
POTTING SHED,7,
POULTRY HOUSE,1,
POUND,1,
POWDER MAGAZINE,2,
POWER HOUSE,2,N
POWER STATION,2,N
PREACHING CROSS,3,
PRISONER OF WAR CAMP,5,
PRIVATE CHAPEL,3,
PRIVY HOUSE,18,
PROSPECTING PIT,,N
PUBLIC HOUSE,13,
PUMP,18,
PUMP HOUSE,18,
QUARRY,2,
QUAY,17,
RABBIT TRAP,1,
RACECOURSE,,N
RAILINGS,8,
RAILWAY,4,
RAILWAY BRIDGE,4,
RAILWAY CARRIAGE,4,
RAILWAY STATION,4,
RAIN GAUGE,18,
RAMP,,N
READING ROOM,15,
RECTANGULAR ENCLOSURE,8,
RECTILINEAR ENCLOSURE,8,
RECUMBENT STONE,3,
REFUSE DISPOSAL SITE,2,
RESERVOIR,18,
RETAINING WALL,8,
RETTING POND,2,
REVETMENT,8,
RIDGE AND FURROW,1,
RIFLE BUTTS,5,
RING BANK,8,
RING BARROW,8,
RING CAIRN,8,
RING DITCH,8,
ROAD,4,
ROAD BRIDGE,4,
ROCK ART,3,
ROCK CARVING,3,
ROCK GARDEN,7,
ROCK SHELTER,7,
ROCKERY,7,
ROPEWALK,2,
ROUND BARROW,3,
ROUND CAIRN,3,
ROUND HOUSE (DOMESTIC),6,
RUBBING STONE,2,
RUBBISH PIT,,N
RUNE STONE,3,
SAILING CLUB,9,
SAND PIT,2,
SAUCER BARROW,3,
SAW MILL,2,
SAW PIT,2,
SCARP,8,
SCHOOL,15,
SCOOPED SETTLEMENT,6,
SEAT,7,
SEMI DETACHED HOUSE,6,
SEPTIC TANK,,N
SETTLEMENT,6,
SHAFT,2,
SHED,1,
SHEEP DIP,1,
SHEEP FOLD,1,
SHEEP HOUSE,1,
SHEEP SHEARING SHED,1,
SHELTER,1,
SHELTER SHED,1,
SHEPHERDS HUT,1,
SHIELING,1,
SHOOTING STAND,9,
SHOP,13,
SHRUNKEN VILLAGE,6,
SIGNAL BOX,4,
SIGNAL STATION,4,
SIGNPOST,4,
SILAGE CLAMP,1,
SILVER MINE,2,
SITE,10,
SLAG HEAP,2,
SLATE QUARRY,2,
SLEDWAY,2,
SLUICE,2,
SLUICE GATE,2,
SMELT MILL,2,
SMELTERY,2,
SPINNING MILL,2,
SPINNING SHED,2,
SPOIL HEAP,2,
SPRING,18,
SQUARE ENCLOSURE,8,
SQUATTER SETTLEMENT,6,
STABLE,1,
STACK STAND,1,
STANDING STONE,3,
STEAM MILL,2,
STEPPING STONES,4,
STEPS,7,
STILE,4,
STOCK ENCLOSURE,1,
STONE,8,
STONE ALIGNMENT,3,
STONE AVENUE,3,
STONE AXE FACTORY,2,
STONE CIRCLE,3,
STONE DRESSING FLOOR,2,
STONE QUARRY,2,
STONE SETTING,3,
STOREHOUSE,13,
STREAM,18,
STRIP FIELD,1,
STRIP LYNCHET,1,
STRUCTURE,8,
STUDIO HOUSE,,N
SUB CIRCULAR ENCLOSURE,8,
SUBMARINE FOREST,,N
SUMMERHOUSE,7,
SUNDIAL,7,
SURVEY TOWER,14,
TAIL RACE,2,
TANNERY,2,
TANNING PIT,2,
TARGET,5,
TEA ROOM,13,
TEMPLE,3,
TEMPORARY CAMP,5,
TENEMENT,6,
TENNIS COURT,9,
TENTER GROUND,9,
TERRACE,1,
TERRACED GROUND,8,N
TERRACED HOUSE,6,
THRESHING BARN,1,
TILE KILN,2,
TILE WORKS,2,
TOFT,6,
TOILET,6,
TOLL HOUSE,4,
TOLL ROAD,4,
TOMBSTONE,3,
TOR CAIRN,3,
TOWER,8,
TOWER HOUSE,6,
TOWN HALL,11,
TOWN HOUSE,6,
TRACKWAY,4,
TRAMWAY,4,
TRAP HOUSE,1,
TRENCH,8,
TROUGH,8,
TUNGSTEN MINE,2,
TUNNEL,8,
TURBINE HOUSE,2,
UMBER WORKINGS,10,
UNENCLOSED HUT CIRCLE SETTLEMENT,6,
UNIVALLATE HILLFORT,6,
VACCARY,1,
value,,
VALVE TOWER,2,
VANTAGE POINT,9,
VEGETABLE GARDEN,1,
VERMIN TRAP,11,
VIADUCT,4,
VICARAGE,6,
VICUS,6,
VIEWING TERRACE,9,
VILLA,6,
VILLAGE,6,
WAGONWAY,2,
WALK,7,
WALL,8,
WALLED GARDEN,7,
WAREHOUSE,13,
WASH HOUSE,2,
WASHFOLD,1,
WATCH TOWER,13,
WATER CHANNEL,18,
WATER PIPE,18,
WATER TANK,18,
WATER TAP,18,
WATER TURBINE,18,
WATER WHEEL,18,
WATERFALL,18,
WATERMILL,2,
WATERWORKS,18,
WAYSIDE CROSS,3,
WEAVERS WORKSHOP,2,
WEAVING MILL,2,
WEIGH HOUSE,4,
WEIR,18,
WELL,18,
WELL HEAD,18,
WELL HOUSE,18,
WESLEYAN METHODIST CHAPEL,3,
WET DOCK,17,
WHARF,17,
WHEEL PIT,2,
WHIM HOUSE,2,
WILD GARDEN,7,
WIND PUMP,18,
WINDMILL,2,
WOOD,,N
WOOD DRYING KILN,2,
WOOD SHED,2,
WOODWORKERS HUT,2,
WOODWORKING SITE,2,
WOOLLEN MILL,2,
WORKERS COTTAGE,6,
WORKHOUSE,11,
WORKS,2,
WORKSHOP,2,
YARD,8,
ZINC MINE,2,
