SHINEuid,FISH_Broad_Type,Occurrences
36664,NA,1
36665,NA,1
36666,MONUMENT (BY FORM),1
36667,AGRICULTURE AND SUBSISTENCE,1
36668,AGRICULTURE AND SUBSISTENCE,1
36669,"RELIGIOUS, RITUAL AND FUNERARY",1
36669,UNASSIGNED,1
36670,AGRICULTURE AND SUBSISTENCE,1
36671,INDUSTRIAL,1
36672,UNASSIGNED,1
36673,AGRICULTURE AND SUBSISTENCE,1
36673,UNASSIGNED,1
36674,UNASSIGNED,1
36676,UNASSIGNED,1
36677,UNASSIGNED,1
36678,UNASSIGNED,1
36679,AGRICULTURE AND SUBSISTENCE,2
36680,"RELIGIOUS, RITUAL AND FUNERARY",1
36681,"GARDENS, PARKS AND URBAN SPACES",1
36682,AGRICULTURE AND SUBSISTENCE,2
36683,INDUSTRIAL,1
36684,MONUMENT (BY FORM),1
36685,AGRICULTURE AND SUBSISTENCE,1
36686,INDUSTRIAL,1
36687,"RELIGIOUS, RITUAL AND FUNERARY",1
36688,AGRICULTURE AND SUBSISTENCE,1
36689,COMMEMORATIVE,1
36690,"RELIGIOUS, RITUAL AND FUNERARY",1
36691,"RELIGIOUS, RITUAL AND FUNERARY",1
36692,MONUMENT (BY FORM),1
36693,MONUMENT (BY FORM),1
36693,"RELIGIOUS, RITUAL AND FUNERARY",1
36694,MONUMENT (BY FORM),2
36695,MONUMENT (BY FORM),1
36695,"RELIGIOUS, RITUAL AND FUNERARY",1
36696,MONUMENT (BY FORM),2
36697,AGRICULTURE AND SUBSISTENCE,1
36698,AGRICULTURE AND SUBSISTENCE,1
36699,MONUMENT (BY FORM),1
36700,"RELIGIOUS, RITUAL AND FUNERARY",1
36701,"RELIGIOUS, RITUAL AND FUNERARY",1
36702,DOMESTIC,1
36703,TRANSPORT,1
36704,"RELIGIOUS, RITUAL AND FUNERARY",1
36705,DOMESTIC,1
36706,AGRICULTURE AND SUBSISTENCE,1
36707,WATER SUPPLY AND DRAINAGE,1
36707,NA,1
36708,AGRICULTURE AND SUBSISTENCE,1
36709,AGRICULTURE AND SUBSISTENCE,1
36710,AGRICULTURE AND SUBSISTENCE,1
36711,MONUMENT (BY FORM),1
36712,AGRICULTURE AND SUBSISTENCE,1
36713,TRANSPORT,1
36714,TRANSPORT,1
36715,MONUMENT (BY FORM),1
36716,MONUMENT (BY FORM),1
36717,DOMESTIC,1
36718,INDUSTRIAL,1
36719,MONUMENT (BY FORM),1
36720,MONUMENT (BY FORM),1
36721,MONUMENT (BY FORM),1
36722,MONUMENT (BY FORM),1
36723,MONUMENT (BY FORM),1
36724,MONUMENT (BY FORM),1
36725,MONUMENT (BY FORM),1
36726,INDUSTRIAL,1
36727,AGRICULTURE AND SUBSISTENCE,1
36728,AGRICULTURE AND SUBSISTENCE,1
36729,AGRICULTURE AND SUBSISTENCE,1
36730,AGRICULTURE AND SUBSISTENCE,1
36731,DEFENCE,1
36732,"RELIGIOUS, RITUAL AND FUNERARY",2
36733,MONUMENT (BY FORM),1
36734,AGRICULTURE AND SUBSISTENCE,1
36735,NA,1
36736,DEFENCE,1
36737,AGRICULTURE AND SUBSISTENCE,1
36738,AGRICULTURE AND SUBSISTENCE,3
36739,MONUMENT (BY FORM),1
36740,AGRICULTURE AND SUBSISTENCE,1
36741,AGRICULTURE AND SUBSISTENCE,1
36741,"RELIGIOUS, RITUAL AND FUNERARY",1
36742,"RELIGIOUS, RITUAL AND FUNERARY",1
36743,"RELIGIOUS, RITUAL AND FUNERARY",1
36744,AGRICULTURE AND SUBSISTENCE,2
36745,AGRICULTURE AND SUBSISTENCE,1
36746,"RELIGIOUS, RITUAL AND FUNERARY",1
36747,"RELIGIOUS, RITUAL AND FUNERARY",1
36748,"RELIGIOUS, RITUAL AND FUNERARY",2
36749,"RELIGIOUS, RITUAL AND FUNERARY",1
36750,"RELIGIOUS, RITUAL AND FUNERARY",1
36751,AGRICULTURE AND SUBSISTENCE,1
36752,AGRICULTURE AND SUBSISTENCE,1
36753,DOMESTIC,1
36754,INDUSTRIAL,1
36755,INDUSTRIAL,1
36756,MONUMENT (BY FORM),1
36756,TRANSPORT,1
36757,"RELIGIOUS, RITUAL AND FUNERARY",1
36758,AGRICULTURE AND SUBSISTENCE,2
36759,AGRICULTURE AND SUBSISTENCE,1
36760,AGRICULTURE AND SUBSISTENCE,1
36761,INDUSTRIAL,1
36762,INDUSTRIAL,1
36763,MONUMENT (BY FORM),2
36764,AGRICULTURE AND SUBSISTENCE,1
36764,MONUMENT (BY FORM),1
36765,MONUMENT (BY FORM),1
36766,INDUSTRIAL,1
36767,AGRICULTURE AND SUBSISTENCE,1
36768,AGRICULTURE AND SUBSISTENCE,1
36769,INDUSTRIAL,1
36770,NA,1
36771,MONUMENT (BY FORM),1
36772,AGRICULTURE AND SUBSISTENCE,1
36772,DOMESTIC,1
36773,AGRICULTURE AND SUBSISTENCE,1
36774,"GARDENS, PARKS AND URBAN SPACES",1
36774,MONUMENT (BY FORM),1
36775,AGRICULTURE AND SUBSISTENCE,1
36776,MONUMENT (BY FORM),1
36777,MONUMENT (BY FORM),1
36778,MONUMENT (BY FORM),1
36779,AGRICULTURE AND SUBSISTENCE,1
36779,"RELIGIOUS, RITUAL AND FUNERARY",1
36780,"RELIGIOUS, RITUAL AND FUNERARY",1
36781,AGRICULTURE AND SUBSISTENCE,1
36782,NA,1
36783,AGRICULTURE AND SUBSISTENCE,1
36784,AGRICULTURE AND SUBSISTENCE,1
36785,AGRICULTURE AND SUBSISTENCE,1
36786,MONUMENT (BY FORM),1
36787,AGRICULTURE AND SUBSISTENCE,1
36788,AGRICULTURE AND SUBSISTENCE,1
36789,AGRICULTURE AND SUBSISTENCE,1
36790,AGRICULTURE AND SUBSISTENCE,1
36791,INDUSTRIAL,2
36792,MONUMENT (BY FORM),1
36793,MONUMENT (BY FORM),1
36794,DOMESTIC,1
36795,AGRICULTURE AND SUBSISTENCE,1
36795,DOMESTIC,1
36796,"RELIGIOUS, RITUAL AND FUNERARY",2
36797,AGRICULTURE AND SUBSISTENCE,1
36798,AGRICULTURE AND SUBSISTENCE,1
36799,INDUSTRIAL,1
36800,INDUSTRIAL,1
36801,INDUSTRIAL,1
36802,MONUMENT (BY FORM),1
36803,AGRICULTURE AND SUBSISTENCE,1
36804,MONUMENT (BY FORM),1
36805,AGRICULTURE AND SUBSISTENCE,1
36805,"RELIGIOUS, RITUAL AND FUNERARY",1
36806,INDUSTRIAL,1
36807,INDUSTRIAL,2
36808,"RELIGIOUS, RITUAL AND FUNERARY",2
36809,"RELIGIOUS, RITUAL AND FUNERARY",2
36810,AGRICULTURE AND SUBSISTENCE,1
36811,AGRICULTURE AND SUBSISTENCE,1
36812,MONUMENT (BY FORM),1
36813,MONUMENT (BY FORM),1
36814,AGRICULTURE AND SUBSISTENCE,1
36815,AGRICULTURE AND SUBSISTENCE,1
36816,AGRICULTURE AND SUBSISTENCE,1
36817,DOMESTIC,1
36818,AGRICULTURE AND SUBSISTENCE,1
36819,INDUSTRIAL,1
36820,INDUSTRIAL,1
36821,INDUSTRIAL,1
36822,INDUSTRIAL,1
36823,INDUSTRIAL,1
36824,INDUSTRIAL,1
36825,INDUSTRIAL,1
36826,INDUSTRIAL,1
36827,INDUSTRIAL,1
36828,INDUSTRIAL,1
36829,INDUSTRIAL,1
36830,INDUSTRIAL,1
36831,INDUSTRIAL,1
36832,WATER SUPPLY AND DRAINAGE,1
36833,MONUMENT (BY FORM),1
36834,INDUSTRIAL,1
36835,AGRICULTURE AND SUBSISTENCE,1
36836,MONUMENT (BY FORM),2
36837,INDUSTRIAL,1
36838,MONUMENT (BY FORM),1
36839,MONUMENT (BY FORM),1
36840,INDUSTRIAL,1
36841,AGRICULTURE AND SUBSISTENCE,1
36841,"RELIGIOUS, RITUAL AND FUNERARY",1
36842,INDUSTRIAL,1
36843,INDUSTRIAL,1
36844,INDUSTRIAL,1
36845,INDUSTRIAL,1
36846,NA,1
36847,AGRICULTURE AND SUBSISTENCE,1
36847,NA,1
36848,"RELIGIOUS, RITUAL AND FUNERARY",1
36849,MONUMENT (BY FORM),1
36850,MONUMENT (BY FORM),1
36851,INDUSTRIAL,1
36852,INDUSTRIAL,1
36853,"RELIGIOUS, RITUAL AND FUNERARY",2
36854,DOMESTIC,1
36855,WATER SUPPLY AND DRAINAGE,1
36856,INDUSTRIAL,1
36857,AGRICULTURE AND SUBSISTENCE,1
36858,DOMESTIC,1
36859,DOMESTIC,1
36860,INDUSTRIAL,1
36861,INDUSTRIAL,1
36862,AGRICULTURE AND SUBSISTENCE,1
36862,INDUSTRIAL,1
36863,INDUSTRIAL,1
36864,INDUSTRIAL,1
36865,INDUSTRIAL,1
36866,INDUSTRIAL,1
36867,INDUSTRIAL,1
36868,"RELIGIOUS, RITUAL AND FUNERARY",2
36869,INDUSTRIAL,1
36870,AGRICULTURE AND SUBSISTENCE,1
36871,INDUSTRIAL,1
36872,INDUSTRIAL,1
36873,INDUSTRIAL,1
36874,MONUMENT (BY FORM),1
36875,DOMESTIC,2
36876,DOMESTIC,2
36878,AGRICULTURE AND SUBSISTENCE,1
36879,TRANSPORT,1
36880,INDUSTRIAL,1
36881,INDUSTRIAL,1
36882,INDUSTRIAL,1
36883,TRANSPORT,1
36884,CIVIL,1
36885,AGRICULTURE AND SUBSISTENCE,3
36886,AGRICULTURE AND SUBSISTENCE,1
36887,AGRICULTURE AND SUBSISTENCE,1
36888,TRANSPORT,1
36889,AGRICULTURE AND SUBSISTENCE,1
36890,MONUMENT (BY FORM),1
36891,MONUMENT (BY FORM),1
36892,AGRICULTURE AND SUBSISTENCE,1
36893,AGRICULTURE AND SUBSISTENCE,1
36894,AGRICULTURE AND SUBSISTENCE,1
36895,MONUMENT (BY FORM),1
36896,AGRICULTURE AND SUBSISTENCE,1
36897,AGRICULTURE AND SUBSISTENCE,1
36898,AGRICULTURE AND SUBSISTENCE,1
36899,MONUMENT (BY FORM),1
36900,TRANSPORT,1
36901,TRANSPORT,1
36902,MONUMENT (BY FORM),1
36903,MONUMENT (BY FORM),1
36904,COMMEMORATIVE,1
36905,AGRICULTURE AND SUBSISTENCE,1
36906,WATER SUPPLY AND DRAINAGE,1
36907,NA,1
36908,DOMESTIC,1
36909,"RELIGIOUS, RITUAL AND FUNERARY",1
36910,"RELIGIOUS, RITUAL AND FUNERARY",1
36911,"RELIGIOUS, RITUAL AND FUNERARY",1
36912,AGRICULTURE AND SUBSISTENCE,1
36913,"RELIGIOUS, RITUAL AND FUNERARY",1
36914,MONUMENT (BY FORM),1
36915,MONUMENT (BY FORM),1
36916,AGRICULTURE AND SUBSISTENCE,1
36917,AGRICULTURE AND SUBSISTENCE,1
36918,DOMESTIC,1
36919,MONUMENT (BY FORM),1
36920,MONUMENT (BY FORM),1
36921,MONUMENT (BY FORM),1
36922,INDUSTRIAL,1
36923,INDUSTRIAL,1
36924,INDUSTRIAL,1
36925,AGRICULTURE AND SUBSISTENCE,1
36926,INDUSTRIAL,1
36927,"RELIGIOUS, RITUAL AND FUNERARY",1
36928,INDUSTRIAL,3
36929,DOMESTIC,1
36930,TRANSPORT,1
36931,DOMESTIC,1
36932,MONUMENT (BY FORM),1
36933,AGRICULTURE AND SUBSISTENCE,1
36934,MONUMENT (BY FORM),1
36935,MONUMENT (BY FORM),1
36936,MONUMENT (BY FORM),1
36937,MONUMENT (BY FORM),1
36938,MONUMENT (BY FORM),1
36938,NA,1
36939,MONUMENT (BY FORM),1
36940,MONUMENT (BY FORM),1
36941,MONUMENT (BY FORM),1
36942,AGRICULTURE AND SUBSISTENCE,1
36943,INDUSTRIAL,1
36944,AGRICULTURE AND SUBSISTENCE,1
36945,AGRICULTURE AND SUBSISTENCE,1
36946,INDUSTRIAL,1
36946,"RELIGIOUS, RITUAL AND FUNERARY",1
36947,TRANSPORT,1
36948,TRANSPORT,1
36949,TRANSPORT,1
36950,MONUMENT (BY FORM),1
36951,INDUSTRIAL,1
36952,AGRICULTURE AND SUBSISTENCE,1
36953,AGRICULTURE AND SUBSISTENCE,1
36954,DOMESTIC,1
36955,INDUSTRIAL,1
36956,MONUMENT (BY FORM),1
36957,"RELIGIOUS, RITUAL AND FUNERARY",1
36958,DOMESTIC,1
36959,AGRICULTURE AND SUBSISTENCE,1
36960,AGRICULTURE AND SUBSISTENCE,2
36961,DOMESTIC,1
36962,MONUMENT (BY FORM),1
36963,DOMESTIC,1
36964,MONUMENT (BY FORM),1
36965,MONUMENT (BY FORM),1
36966,"RELIGIOUS, RITUAL AND FUNERARY",1
36967,MONUMENT (BY FORM),1
36968,AGRICULTURE AND SUBSISTENCE,2
36969,AGRICULTURE AND SUBSISTENCE,1
36970,DOMESTIC,1
36970,"RELIGIOUS, RITUAL AND FUNERARY",1
36971,MONUMENT (BY FORM),1
36972,"RELIGIOUS, RITUAL AND FUNERARY",1
36973,INDUSTRIAL,1
36973,NA,1
36974,INDUSTRIAL,1
36975,"RELIGIOUS, RITUAL AND FUNERARY",1
36976,AGRICULTURE AND SUBSISTENCE,1
36977,DOMESTIC,1
36977,MONUMENT (BY FORM),1
36978,INDUSTRIAL,1
36979,AGRICULTURE AND SUBSISTENCE,1
36979,DOMESTIC,1
36979,"RELIGIOUS, RITUAL AND FUNERARY",1
36980,INDUSTRIAL,1
36981,DOMESTIC,1
36981,"RELIGIOUS, RITUAL AND FUNERARY",1
36982,DOMESTIC,1
36982,"RELIGIOUS, RITUAL AND FUNERARY",1
36983,"RELIGIOUS, RITUAL AND FUNERARY",1
36984,INDUSTRIAL,2
36985,"RELIGIOUS, RITUAL AND FUNERARY",1
36986,DOMESTIC,1
36987,AGRICULTURE AND SUBSISTENCE,1
36988,"RELIGIOUS, RITUAL AND FUNERARY",1
36989,"RELIGIOUS, RITUAL AND FUNERARY",3
36990,INDUSTRIAL,2
36991,AGRICULTURE AND SUBSISTENCE,1
36991,DOMESTIC,1
36991,MONUMENT (BY FORM),1
36992,MONUMENT (BY FORM),1
36993,DOMESTIC,2
36994,"RELIGIOUS, RITUAL AND FUNERARY",1
36995,"RELIGIOUS, RITUAL AND FUNERARY",2
36996,AGRICULTURE AND SUBSISTENCE,1
36996,MONUMENT (BY FORM),1
36996,"RELIGIOUS, RITUAL AND FUNERARY",1
36997,WATER SUPPLY AND DRAINAGE,1
36998,DOMESTIC,1
36998,INDUSTRIAL,1
36999,INDUSTRIAL,1
37000,DOMESTIC,1
37001,"RELIGIOUS, RITUAL AND FUNERARY",1
37002,AGRICULTURE AND SUBSISTENCE,3
37003,"RELIGIOUS, RITUAL AND FUNERARY",1
37004,DOMESTIC,2
37004,"RELIGIOUS, RITUAL AND FUNERARY",2
37005,"RELIGIOUS, RITUAL AND FUNERARY",1
37006,DOMESTIC,1
37007,INDUSTRIAL,1
37008,AGRICULTURE AND SUBSISTENCE,1
37009,AGRICULTURE AND SUBSISTENCE,1
37010,"RELIGIOUS, RITUAL AND FUNERARY",1
37011,"RELIGIOUS, RITUAL AND FUNERARY",1
37012,AGRICULTURE AND SUBSISTENCE,1
37012,MONUMENT (BY FORM),1
37013,AGRICULTURE AND SUBSISTENCE,2
37014,"RELIGIOUS, RITUAL AND FUNERARY",1
37015,"RELIGIOUS, RITUAL AND FUNERARY",1
37016,"RELIGIOUS, RITUAL AND FUNERARY",1
37017,"RELIGIOUS, RITUAL AND FUNERARY",1
37018,NA,1
37019,NA,1
37020,DOMESTIC,1
37020,"RELIGIOUS, RITUAL AND FUNERARY",1
37021,MONUMENT (BY FORM),1
37022,DOMESTIC,2
37023,"RELIGIOUS, RITUAL AND FUNERARY",2
37024,MONUMENT (BY FORM),1
37025,MONUMENT (BY FORM),1
37026,MONUMENT (BY FORM),1
37027,MONUMENT (BY FORM),1
37027,"RELIGIOUS, RITUAL AND FUNERARY",1
37028,MONUMENT (BY FORM),1
37029,DOMESTIC,1
37030,MONUMENT (BY FORM),1
37031,INDUSTRIAL,3
37032,INDUSTRIAL,1
37033,"RELIGIOUS, RITUAL AND FUNERARY",2
37034,DOMESTIC,1
37035,MONUMENT (BY FORM),1
37035,"RELIGIOUS, RITUAL AND FUNERARY",1
37036,MONUMENT (BY FORM),1
37037,INDUSTRIAL,1
37038,DOMESTIC,2
37039,MONUMENT (BY FORM),2
37040,INDUSTRIAL,2
37041,"RELIGIOUS, RITUAL AND FUNERARY",2
37042,"RELIGIOUS, RITUAL AND FUNERARY",1
37043,MONUMENT (BY FORM),2
37044,"RELIGIOUS, RITUAL AND FUNERARY",1
37045,MONUMENT (BY FORM),1
37046,"RELIGIOUS, RITUAL AND FUNERARY",1
37047,"RELIGIOUS, RITUAL AND FUNERARY",1
37049,"RELIGIOUS, RITUAL AND FUNERARY",2
37050,"RELIGIOUS, RITUAL AND FUNERARY",1
37051,"RELIGIOUS, RITUAL AND FUNERARY",1
37052,MONUMENT (BY FORM),1
37052,"RELIGIOUS, RITUAL AND FUNERARY",1
37053,AGRICULTURE AND SUBSISTENCE,1
37053,"RELIGIOUS, RITUAL AND FUNERARY",1
37054,DOMESTIC,1
37054,"RELIGIOUS, RITUAL AND FUNERARY",1
37055,MONUMENT (BY FORM),1
37056,MONUMENT (BY FORM),1
37057,MONUMENT (BY FORM),1
37058,MONUMENT (BY FORM),1
37059,MONUMENT (BY FORM),1
37060,MONUMENT (BY FORM),1
37061,MONUMENT (BY FORM),1
37062,MONUMENT (BY FORM),1
37062,TRANSPORT,1
37063,"RELIGIOUS, RITUAL AND FUNERARY",1
37064,INDUSTRIAL,1
37065,AGRICULTURE AND SUBSISTENCE,2
37066,DOMESTIC,2
37067,DOMESTIC,1
37067,"GARDENS, PARKS AND URBAN SPACES",1
37068,"RELIGIOUS, RITUAL AND FUNERARY",1
37069,"RELIGIOUS, RITUAL AND FUNERARY",1
37070,DOMESTIC,1
37071,INDUSTRIAL,1
37072,"RELIGIOUS, RITUAL AND FUNERARY",4
37073,INDUSTRIAL,1
37074,INDUSTRIAL,2
37075,MONUMENT (BY FORM),1
37076,MONUMENT (BY FORM),1
37077,AGRICULTURE AND SUBSISTENCE,2
37077,"RELIGIOUS, RITUAL AND FUNERARY",2
37078,AGRICULTURE AND SUBSISTENCE,2
37078,"RELIGIOUS, RITUAL AND FUNERARY",2
37079,AGRICULTURE AND SUBSISTENCE,3
37080,DEFENCE,2
37080,"RELIGIOUS, RITUAL AND FUNERARY",2
37081,DOMESTIC,1
37081,"RELIGIOUS, RITUAL AND FUNERARY",1
37082,DOMESTIC,1
37082,"RELIGIOUS, RITUAL AND FUNERARY",1
37083,"RELIGIOUS, RITUAL AND FUNERARY",4
37084,MONUMENT (BY FORM),1
37085,INDUSTRIAL,1
37086,INDUSTRIAL,2
37087,INDUSTRIAL,1
37088,INDUSTRIAL,1
37089,INDUSTRIAL,1
37090,INDUSTRIAL,2
37091,INDUSTRIAL,2
37092,INDUSTRIAL,2
37093,INDUSTRIAL,1
37094,INDUSTRIAL,1
37095,INDUSTRIAL,1
37096,"RELIGIOUS, RITUAL AND FUNERARY",1
37097,"RELIGIOUS, RITUAL AND FUNERARY",1
37098,AGRICULTURE AND SUBSISTENCE,1
37098,DOMESTIC,1
37098,"RELIGIOUS, RITUAL AND FUNERARY",1
37099,"RELIGIOUS, RITUAL AND FUNERARY",1
37100,MONUMENT (BY FORM),1
37101,COMMERCIAL,1
37102,DOMESTIC,1
37103,INDUSTRIAL,2
37104,"RELIGIOUS, RITUAL AND FUNERARY",1
37105,INDUSTRIAL,1
37106,INDUSTRIAL,1
37107,MONUMENT (BY FORM),1
37108,AGRICULTURE AND SUBSISTENCE,1
37109,AGRICULTURE AND SUBSISTENCE,1
37110,MONUMENT (BY FORM),1
37111,AGRICULTURE AND SUBSISTENCE,1
37112,INDUSTRIAL,1
37112,MONUMENT (BY FORM),1
37113,INDUSTRIAL,1
37114,MONUMENT (BY FORM),1
37114,"RELIGIOUS, RITUAL AND FUNERARY",1
37115,MONUMENT (BY FORM),1
37116,AGRICULTURE AND SUBSISTENCE,1
37116,DOMESTIC,1
37117,INDUSTRIAL,1
37118,DOMESTIC,1
37118,MONUMENT (BY FORM),1
37118,"RELIGIOUS, RITUAL AND FUNERARY",1
37119,AGRICULTURE AND SUBSISTENCE,2
37120,DOMESTIC,1
37121,"RELIGIOUS, RITUAL AND FUNERARY",1
37122,DOMESTIC,1
37123,NA,1
37124,AGRICULTURE AND SUBSISTENCE,1
37125,DOMESTIC,1
37126,MONUMENT (BY FORM),1
37127,AGRICULTURE AND SUBSISTENCE,2
37128,MONUMENT (BY FORM),1
37129,"RELIGIOUS, RITUAL AND FUNERARY",1
37130,INDUSTRIAL,1
37131,AGRICULTURE AND SUBSISTENCE,2
37132,MONUMENT (BY FORM),1
37133,INDUSTRIAL,1
37134,INDUSTRIAL,2
37135,MONUMENT (BY FORM),1
37136,MONUMENT (BY FORM),1
37137,INDUSTRIAL,1
37138,AGRICULTURE AND SUBSISTENCE,1
37138,DOMESTIC,1
37139,MONUMENT (BY FORM),1
37140,MONUMENT (BY FORM),1
37140,"RELIGIOUS, RITUAL AND FUNERARY",1
37141,MONUMENT (BY FORM),1
37142,"RELIGIOUS, RITUAL AND FUNERARY",1
37143,INDUSTRIAL,4
37144,"RELIGIOUS, RITUAL AND FUNERARY",1
37145,MONUMENT (BY FORM),1
37146,AGRICULTURE AND SUBSISTENCE,1
37147,UNASSIGNED,1
37148,DOMESTIC,2
37149,DOMESTIC,2
37150,AGRICULTURE AND SUBSISTENCE,1
37151,DEFENCE,1
37152,INDUSTRIAL,4
37153,TRANSPORT,1
37154,AGRICULTURE AND SUBSISTENCE,1
37155,AGRICULTURE AND SUBSISTENCE,1
37155,DOMESTIC,1
37155,"RELIGIOUS, RITUAL AND FUNERARY",1
37156,INDUSTRIAL,1
37157,AGRICULTURE AND SUBSISTENCE,1
37157,RECREATIONAL,1
37158,"RELIGIOUS, RITUAL AND FUNERARY",1
37159,AGRICULTURE AND SUBSISTENCE,1
37159,MONUMENT (BY FORM),1
37160,MONUMENT (BY FORM),1
37161,"RELIGIOUS, RITUAL AND FUNERARY",1
37162,MONUMENT (BY FORM),1
37163,DOMESTIC,1
37164,DOMESTIC,1
37165,DOMESTIC,1
37165,"RELIGIOUS, RITUAL AND FUNERARY",1
37166,AGRICULTURE AND SUBSISTENCE,1
37166,INDUSTRIAL,1
37167,AGRICULTURE AND SUBSISTENCE,1
37168,MONUMENT (BY FORM),1
37169,DOMESTIC,1
37170,DOMESTIC,1
37171,DOMESTIC,1
37172,TRANSPORT,1
37173,INDUSTRIAL,2
37174,MONUMENT (BY FORM),1
37175,MONUMENT (BY FORM),1
37176,INDUSTRIAL,1
37177,AGRICULTURE AND SUBSISTENCE,1
37178,MONUMENT (BY FORM),1
37179,DOMESTIC,1
37179,NA,1
37180,DEFENCE,1
37181,MONUMENT (BY FORM),1
37182,DOMESTIC,1
37183,DOMESTIC,2
37183,"RELIGIOUS, RITUAL AND FUNERARY",2
37184,DOMESTIC,2
37185,INDUSTRIAL,1
37186,DOMESTIC,1
37187,MONUMENT (BY FORM),1
37188,MONUMENT (BY FORM),2
37189,MONUMENT (BY FORM),1
37190,MONUMENT (BY FORM),1
37191,DOMESTIC,1
37192,DOMESTIC,1
37192,INDUSTRIAL,1
37193,AGRICULTURE AND SUBSISTENCE,4
37193,DOMESTIC,4
37194,DOMESTIC,1
37195,DOMESTIC,1
37196,INDUSTRIAL,1
37197,DOMESTIC,1
37198,DOMESTIC,1
37198,INDUSTRIAL,1
37199,DOMESTIC,1
37200,DOMESTIC,1
37201,DOMESTIC,1
37201,INDUSTRIAL,1
37202,DOMESTIC,1
37202,INDUSTRIAL,1
37203,DOMESTIC,1
37203,INDUSTRIAL,1
37204,DOMESTIC,1
37205,INDUSTRIAL,1
37206,DOMESTIC,1
37207,DOMESTIC,1
37207,INDUSTRIAL,1
37208,DOMESTIC,1
37208,INDUSTRIAL,1
37209,DOMESTIC,1
37209,INDUSTRIAL,1
37210,DOMESTIC,1
37210,INDUSTRIAL,1
37211,DOMESTIC,1
37211,INDUSTRIAL,1
37212,DOMESTIC,1
37212,INDUSTRIAL,1
37213,DOMESTIC,1
37213,INDUSTRIAL,1
37214,DOMESTIC,1
37214,INDUSTRIAL,1
37215,AGRICULTURE AND SUBSISTENCE,1
37216,MONUMENT (BY FORM),1
37217,DOMESTIC,1
37218,DOMESTIC,1
37219,DOMESTIC,1
37220,"GARDENS, PARKS AND URBAN SPACES",1
37221,"GARDENS, PARKS AND URBAN SPACES",1
37222,"GARDENS, PARKS AND URBAN SPACES",1
37223,MONUMENT (BY FORM),1
37224,AGRICULTURE AND SUBSISTENCE,1
37224,DOMESTIC,1
37225,MONUMENT (BY FORM),1
37226,AGRICULTURE AND SUBSISTENCE,1
37226,MONUMENT (BY FORM),1
37227,AGRICULTURE AND SUBSISTENCE,1
37228,DOMESTIC,1
37229,DOMESTIC,1
37229,MONUMENT (BY FORM),1
37230,AGRICULTURE AND SUBSISTENCE,1
37231,AGRICULTURE AND SUBSISTENCE,1
37233,INDUSTRIAL,1
37234,WATER SUPPLY AND DRAINAGE,1
37235,UNASSIGNED,1
37236,AGRICULTURE AND SUBSISTENCE,1
37237,AGRICULTURE AND SUBSISTENCE,1
37238,AGRICULTURE AND SUBSISTENCE,1
37239,AGRICULTURE AND SUBSISTENCE,1
37241,AGRICULTURE AND SUBSISTENCE,1
37242,AGRICULTURE AND SUBSISTENCE,1
37243,INDUSTRIAL,1
37244,MONUMENT (BY FORM),1
37245,TRANSPORT,1
37246,AGRICULTURE AND SUBSISTENCE,1
37246,DOMESTIC,1
37247,DOMESTIC,1
37248,AGRICULTURE AND SUBSISTENCE,1
37249,AGRICULTURE AND SUBSISTENCE,1
37251,MONUMENT (BY FORM),1
37252,AGRICULTURE AND SUBSISTENCE,1
37253,AGRICULTURE AND SUBSISTENCE,2
37254,AGRICULTURE AND SUBSISTENCE,1
37255,AGRICULTURE AND SUBSISTENCE,1
37256,INDUSTRIAL,1
37257,INDUSTRIAL,1
37258,INDUSTRIAL,1
37258,NA,1
37259,INDUSTRIAL,1
37260,INDUSTRIAL,1
37261,WATER SUPPLY AND DRAINAGE,1
37261,NA,1
37262,TRANSPORT,1
37263,NA,1
37264,DEFENCE,1
37266,INDUSTRIAL,1
37267,INDUSTRIAL,1
37268,COMMERCIAL,1
37268,DOMESTIC,1
37274,INDUSTRIAL,1
37275,INDUSTRIAL,1
37277,AGRICULTURE AND SUBSISTENCE,1
37278,DOMESTIC,1
37279,INDUSTRIAL,1
37280,AGRICULTURE AND SUBSISTENCE,1
37281,NA,1
37282,"GARDENS, PARKS AND URBAN SPACES",1
37283,MARITIME,1
37284,INDUSTRIAL,1
37285,"GARDENS, PARKS AND URBAN SPACES",1
37286,WATER SUPPLY AND DRAINAGE,1
37287,NA,1
37288,DOMESTIC,1
37289,MONUMENT (BY FORM),1
37290,"RELIGIOUS, RITUAL AND FUNERARY",1
37291,MONUMENT (BY FORM),1
37292,NA,2
37293,"GARDENS, PARKS AND URBAN SPACES",1
37294,INDUSTRIAL,1
37295,AGRICULTURE AND SUBSISTENCE,1
37295,NA,1
37296,AGRICULTURE AND SUBSISTENCE,1
37297,INDUSTRIAL,1
37298,AGRICULTURE AND SUBSISTENCE,1
37298,NA,1
37299,MONUMENT (BY FORM),1
37300,INDUSTRIAL,1
37300,NA,1
37301,INDUSTRIAL,1
37302,INDUSTRIAL,1
37303,AGRICULTURE AND SUBSISTENCE,1
37304,TRANSPORT,1
37305,"GARDENS, PARKS AND URBAN SPACES",1
37306,"GARDENS, PARKS AND URBAN SPACES",1
37307,"GARDENS, PARKS AND URBAN SPACES",1
37309,UNASSIGNED,1
37310,UNASSIGNED,1
37311,UNASSIGNED,1
37312,AGRICULTURE AND SUBSISTENCE,1
