SHINEuid,MonType,HER Number,Name,PrtctStat,Summary,PeriodStrt,PeriodEnd,Evidence,Descript,PrimRefNo,SHINE_name,CandStat,SHI_Form,SHI_Signif,SHI_StatID,SHI_Stat,Shape,BroadType_Code,Keep_YN.x,Keep_YN.y,countNoKeep,countSHINEuids
34215,BIELD,6602,"Patterdale, Hayes Water Cattle Pen",,Possible sheep fold (a pen or enclosure used for containing sheep) of unknown date.,UNCERTAIN,UNCERTAIN,STRUCTURE,"Double pen for cattle or very small sheep fold on a shelf 100 m above Hayes Water.  Walls 1.5 m with capstones of mediocre construction. This site was recorded by Dr Delap (S2209). 
~
See plan in SMR.",8a3ba4db-9ff3-41a2-8f77-9b359c317e26,"Above-ground structural remains of a sheepfold of unknown date at Hayes Water, Patterdale",yes,Structure(s),Medium,2,Probable,Point,1,N,N,1,1
34219,BIELD,6654,"Bield, Rafland Forest",,A bield (a wall built to give shelter to sheep) of Post Medieval date.,POST MEDIEVAL,POST MEDIEVAL,STRUCTURE,"A well-preserved primitive dipping pen.  Sheep were merely submerged in running water and then penned to dry, then sheared while their coats still stood out from their bodies.  This one had pens about 20 x 30 ft and could hold max 30 sheep. This site was",809bfeec-657c-47ff-9e2f-8b17d84401de,"Above-ground structural remains of a post-medieval bield at Rafland Forest, Shap Rural",yes,Structure(s),Medium,2,Probable,Point,1,N,N,1,1
34258,BIELD,9350,Town Bank Bield,,A possible bield (a wall built to give shelter to sheep) of Post Medieval date.,POST MEDIEVAL,POST MEDIEVAL,DEMOLISHED BUILDING,"LUAU Survey: No.496 - WALL - NY 0769310435: A well-defined wall, with several courses of small, medium and large stones.  On the upslope side it merges with a natural scatter of stone.  It has patchy lichen cover and is probably not of great antiquity.",bcf30583-5afc-4c9f-9e04-308b9d9a4f0c,"Above-ground remains of a post-medieval bield at Town Bank, Ennerdale and Kinniside",yes,Above-ground feature(s),Medium,2,Probable,Polygon,1,N,N,1,1
34267,LEAD MINE,11813,"Thornthwaite Lead Mine, Above Derwent",,Site of a lead mine of unknown date.,UNCERTAIN,UNCERTAIN,DESTROYED MONUMENT,"Site of Thornthwaite Lead Mine, still marked by OS, shown on the OS 6"" 1st edition map of Cumberland sheet 55 (S1177). 
~
Also recorded by M Davies-Shiel on his 1990 map (S1286).
~
Included in 'Silver in Galena in the English Lake District' where the",f48659e6-2525-4a0b-833d-8365730396e2,"Below-ground remains of a lead mine of unknown date at Thornthwaite, Above Derwent",yes,Below-ground feature(s),Low,2,Probable,Polygon,NA,N,N,1,1
34269,LEAD MINE,12002,Loweswater Fell Lead Mine,,Site of a disused lead mine of Post Medieval date.,UNCERTAIN,UNCERTAIN,DESTROYED MONUMENT,"Disused lead mine (Levels and Shaft) marked on the OS 6"" 1st edition map of Cumberland sheet 69 (S1177), still in use in the 1860's.",e40b0153-a95b-4dcf-afc8-ad6700c2855a,Below-ground remains of a post-medieval  lead mine at Loweswater,yes,Below-ground feature(s),Low,2,Probable,Polygon,NA,N,N,1,1
34273,COPPER MINE,12226,Ulpha Copper Mines,,Site of a copper mine of unknown date.,POST MEDIEVAL,POST MEDIEVAL,EARTHWORK,"Disused Copper Mines shown on the OS 6"" 1st edition map of Cumberland (S1177).
~
Site recorded in The National Trust Sites and Monuments Record. The site includes a number of level entrances (S2873).
~
There are several levels in Stonegarth Wood (SD",65b11fd0-2c4d-40d2-b3c2-675ab983ca97,Above and below-ground remains of copper mines of unknown date at Ulpha,yes,Above + below-ground feature(s),Medium,2,Probable,Polygon,2,N,N,1,1
34278,LEAD MINE,12418,"Thornthwaite Mine, Above Derwent",,Site of a lead mine of unknown date.,UNCERTAIN,UNCERTAIN,DESTROYED MONUMENT,"Site of Thornthwaite Mine shown on the OS 1:10000 map sheet NY22NW 1979 (S2168).
~
Included in 'Silver in Galena in the English Lake District' where the author presents the silver content in the lead ore (S5411).",55fb21f3-55cb-4bd0-a65e-60c4cb014cc1,"Below-ground remains of a lead mine at Thornthwaite, Above Derwent",yes,Below-ground feature(s),Low,2,Probable,Polygon,NA,N,N,1,1
34279,LEAD MINE,12620,"Hayeswater Gill Lead Mine, Patterdale",,Site of a lead mine of unknown date.,UNCERTAIN,UNCERTAIN,DESTROYED MONUMENT,"Hayeswater Gill Lead Mine, disused by 1859, shown on the OS 6"" 1st edition map of Westmorland sheet 19 (S1360) and the 25"" 2nd edition map sheet 19.4 (S2648).",7382a332-92f8-44af-afc1-83bf342dff78,"Below-ground remains of a lead mine of unknown date at Hayeswater Gill, Patterdale",yes,Below-ground feature(s),Low,2,Probable,Point,NA,N,N,1,1
34282,GRAVEL PIT,12623,"Hartsop Gravel Pit, Patterdale",,Site of a pit of Post Medieval (Victorian) date.,POST MEDIEVAL,POST MEDIEVAL,EARTHWORK,"Hartsop Gravel Pit, shown as an Old Gravel Pit approached by a short track from the main Hayeswater track, shown on the OS 25"" 2nd edition map of Westmorland dated 1898 sheet 19.4 (S2648).
~
The site was included in a desk-based assessment investigatin",172fddb6-7dcd-4bc6-8b31-40c5cf23928f,"Above-ground remains of a post-medieval gravel pit at Hartsop, Patterdale",yes,Above-ground feature(s),Low,2,Probable,Polygon,2,N,N,1,1
34304,COCKPIT,2979,Gillside/Rattlebeck Cockpit,,Possible cockpit (a pit or enclosed area used for cockfighting) of unknown date.,UNCERTAIN,UNCERTAIN,EARTHWORK,"An irregular oval ""sinking"" ca 23 x 16 yds.  Local tradition says it was used as a cockpit (S1361). 
~
See the RCHM 1936 Westmorland (S1389 p. 191). 
~
According to D. Birkett there is a slight raised area W of the beck near the bridge (S2313)",374c6c13-be37-44e4-b798-32a43d8de27b,"Above-ground remains of a cockpit of unknown date at Gillside, Patterdale",yes,Above-ground feature(s),Medium,1,Possible,Point,9,N,N,1,1
34319,COPPER MINE,3151,"Tilberthwaite Copper Mines, Coniston",,"Copper mine of Medieval to Post Medieval date. See associated HERs 5608, 3157, 18463.",MEDIEVAL,POST MEDIEVAL,EARTHWORK,"Tilberthwaite mine site has mid C18 remains, but was in operation earlier.  The buildings were constructed in and after 1850 when the Horse Level was driven 3,000 ft into the fellside by the Barratts; the crushing mill was erected ca 1866.  Heavy investm",53a96dd7-9d45-4752-a7b0-8ef51e551009,"Above and below-ground remains of a medieval to post-medieval copper mine at Tilberthwaite, Coniston",yes,Above + below-ground feature(s),High,2,Probable,Polygon,2,N,N,1,1
34320,LEAT,3155,"Leat at Brim Fell, Coniston",,A leat (artificial water channel) of Post Medieval date.,POST MEDIEVAL,POST MEDIEVAL,UNCERTAIN EVIDENCE,"""Water power supplies"" to the Coniston Copper Mines. See the National Record of Industrial Monuments 443506 (S2391).",7ac74f05-52a3-42d7-8f98-c403798f7961,"Leat of post-medieval date at Brim Fell, Coniston",yes,Above-ground feature(s),Medium,2,Probable,Point,NA,N,N,1,1
34321,COPPER MINE,3157,"Wetherlam Copper Mines, Consiton",,"Copper mine of Post Medieval date. See associated HERs 3151, 5608, 18463.",POST MEDIEVAL,POST MEDIEVAL,EARTHWORK,"One of several disused copper mines in the Coniston area. See the National Record of Industrial Monuments 443511 (S2391).
~
Also see 'The Industrial Archaeology of the Lake Counties' (S1142 p. 140-148). 
~
A small early 20th century mine with small g",6378d59e-7095-4a32-8859-0035f4c0162f,"Above and below-ground remains of a post-medieval copper mine at Wetherlam, Coniston",yes,Above + below-ground feature(s),Medium,2,Probable,Polygon,2,N,N,3,3
34321,COPPER MINE,3157,"Wetherlam Copper Mines, Consiton",,"Copper mine of Post Medieval date. See associated HERs 3151, 5608, 18463.",POST MEDIEVAL,POST MEDIEVAL,RUINED BUILDING,"One of several disused copper mines in the Coniston area. See the National Record of Industrial Monuments 443511 (S2391).
~
Also see 'The Industrial Archaeology of the Lake Counties' (S1142 p. 140-148). 
~
A small early 20th century mine with small g",6378d59e-7095-4a32-8859-0035f4c0162f,"Above and below-ground remains of a post-medieval copper mine at Wetherlam, Coniston",yes,Above + below-ground feature(s),Medium,2,Probable,Polygon,2,N,N,3,3
34321,COPPER MINE,3157,"Wetherlam Copper Mines, Consiton",,"Copper mine of Post Medieval date. See associated HERs 3151, 5608, 18463.",POST MEDIEVAL,POST MEDIEVAL,STRUCTURE,"One of several disused copper mines in the Coniston area. See the National Record of Industrial Monuments 443511 (S2391).
~
Also see 'The Industrial Archaeology of the Lake Counties' (S1142 p. 140-148). 
~
A small early 20th century mine with small g",6378d59e-7095-4a32-8859-0035f4c0162f,"Above and below-ground remains of a post-medieval copper mine at Wetherlam, Coniston",yes,Above + below-ground feature(s),Medium,2,Probable,Polygon,2,N,N,3,3
34400,LEAD MINE,16825,"Kinniside Lead Mine, Ennerdale and Kinniside",,Site of a lead mine of Post Medieval date.,UNCERTAIN,UNCERTAIN,DESTROYED MONUMENT,"Kinniside Lead Mine is disused now, but it was used in 1860. See the OS 6"" 1st edition map of Westmorland sheet 68 (S1360). 
~
See photograph of a newpaper cutting detailing the sale of mining materials at Kinniside mine, 3 Nov 1829 in the Whitehaven M",2ca95497-da16-4ada-aed9-e07d4ae6bbcf,"Above and below-ground remains of a post-medieval lead mine at Kinniside, Ennerdale and Kinniside",yes,Above + below-ground feature(s),Medium,2,Probable,Point,NA,N,N,1,1
34407,GRAVEL PIT,18464,"Graythwaite Gravel Pit, Satterthwaite",,Site of a gravel pit of unknown date.,UNCERTAIN,UNCERTAIN,DESTROYED MONUMENT,"Site of a gravel pit, no longer marked by OS.
~
This site is shown on the OS 6"" 1st Edition map of Lancashire sheet 8 dated 1851 (S2078) and the 2nd Edition map of Lancashire dated 1892 (S2081).",a0b8feb1-494f-49bd-a68e-9ce1c211c4b7,"Above-ground remains of a gravel pit of unknown date at Graythwaite, Satterthwaite",yes,Above-ground feature(s),Low,2,Probable,Polygon,2,N,N,1,1
34421,BIELD,30472,"Bield, Bomery Gill, Burn Edge",,Site of a bield (a wall built to give shelter to sheep) of unknown date.,UNCERTAIN,UNCERTAIN,DESTROYED MONUMENT,Site of a Bield included on M Davies Shiel's annotated map 1990 (S1286).,d0e6e2c3-c85f-4751-87ed-252c8dc07c73,"Structural remains of a bield of unknown date at Bomery Gill, Ennerdale and Kinniside",yes,Structure(s),Medium,2,Probable,Point,1,N,N,1,1
34427,FULLING MILL,30775,"Fulling Mill, Dockray",,Site of a fulling mill of unknown date.,UNCERTAIN,UNCERTAIN,DESTROYED MONUMENT,Site of a Fulling Mill. This site is included on M Davies Shiel's annotated map 1990 (S1286).,acb0cdeb-36c7-416d-9c74-42d5c44ed0ff,"Above-ground remains of a fulling mill of unknown date at Dockray, Matterdale",yes,Above-ground feature(s),Low,2,Probable,Point,NA,N,N,1,1
34428,FULLING MILL,30776,"Fulling Mill, E. of Dockray",,"Site of a fulling mill (a mill for beating and cleaning cloth, using soap or fullers earth) of unknown date.",UNCERTAIN,UNCERTAIN,DESTROYED MONUMENT,Site of a Fulling Mill with an edge pool. This site is included on M Davies Shiel's annotated map 1990 (S1286).,25df5871-5efb-4167-991e-266cfca0b137,"Above-ground remains of a fulling mill of unknown date at Dockray, Matterdale",yes,Above-ground feature(s),Medium,2,Probable,Point,NA,N,N,1,1
34473,BIELD,31546,"Bield at Thiefstead, Shap Rural",,Site of a bield (a wall built to give shelter to sheep) of Post Medieval date.,POST MEDIEVAL,POST MEDIEVAL,STRUCTURE,"A small drystone bield with a cresent shape running out of a natural crag. There is an entrance way in its southern end next to a small 1m square bield which has been added to an adjoined crag. Size: 6m square, 0.8m wide, 0.3m high. This site was identif",027e862a-5b17-4ecf-86a6-79e7137a1dfa,"Above-ground and structural remains of a post-medieval bield at Thiefstead, Shap Rural",yes,Structure(s) + above-ground feature(s),Medium,2,Probable,Point,1,N,N,1,1
34487,BIELD,31571,"Bield at Bleak Hill, Shap Rural",,Site of a bield (a wall built to give shelter to sheep) of Post Medieval date.,POST MEDIEVAL,POST MEDIEVAL,STRUCTURE,A relatively modern bield built onto a natural crag. The site is rectangular in plan and is presently disused. Size: 4m by 3m and 0.7m high. This site was identified by LUAU during field survey in 1995/6 Site No. H726 (S1931).,43d0a5a6-88e6-43df-ac31-1d144587eca0,"Structural remains of a post-medieval bield at Bleak Hill, Shap Rural",yes,Structure(s),Medium,2,Probable,Point,1,N,N,1,1
34493,BIELD,31578,"Bield at Little Ladstones, Shap Rural",,Site of a bield (a wall built to give shelter to sheep) of Post Medieval date.,POST MEDIEVAL,POST MEDIEVAL,STRUCTURE,"A small roughly constructed drystone bield built up against a natural outcrop, the walls have virtually collapsed and are now 0.8m wide. Size: 4m by 3m and walls standing to 0.4m in height. This site was identified by LUAU during field survey in 1995/6 S",297f306b-f3ec-45bd-b549-ad8f8a8ebff8,"Structural remains of a post-medieval bield at Little Ladstones, Shap Rural",yes,Structure(s),Medium,2,Probable,Point,1,N,N,1,1
34494,BIELD,31579,"Bields at Mirk Gill, Shap Rural",,Site of two bields (walls built to give shelter to sheep) of Post Medieval date.,POST MEDIEVAL,POST MEDIEVAL,STRUCTURE,"Two bields, the first at NY53830 12770 was marked on OS 1st and 2nd Ed. maps, the site was not located by V.Turner's survey of 1984. The second was  marked on the 1977 OS map (NY53890 12760), the site was not located by V.Turner's survey of 1984 (S1931).",0a5617ca-1110-4904-bce0-a0404c36c445,"Above-ground and structural remains of post-medieval bields at Mirk Gill, Shap Rural",yes,Structure(s) + above-ground feature(s),Medium,2,Probable,Polygon,1,N,N,1,1
34496,BIELD,31581,"Bield at Peathill Gill, Shap Rural",,Site of a bield (a wall built to give shelter to sheep) of Post Medieval date.,POST MEDIEVAL,POST MEDIEVAL,STRUCTURE,"A bield marked on all OS maps including 1977 map, the site was not located by V.Turner's survey of 1984 (S1931).",4cc36894-aead-4dc7-ab93-cac168fd795f,"Above-ground and structural remains of a post-medieval bield at Peathill Gill, Shap Rural",yes,Structure(s) + above-ground feature(s),Medium,2,Probable,Point,1,N,N,1,1
34499,BIELD,31585,"Bield at Gambling Crag, Shap Rural",,Site of a bield (a wall built to give shelter to sheep) of Post Medieval date.,POST MEDIEVAL,POST MEDIEVAL,STRUCTURE,A well built drystone bield which has been rebuild to form an enclosure 7m by 3m. The site butts a natural outcrop. Size: 7m by 4m and standing to 0.8m high. This site was identified by LUAU during field survey in 1995/6 Site No. H705 (S1931).,9453bdd4-435f-4e09-952a-42a94315eeb6,"Structural remains of a post-medieval bield at Gambling Crag, Shap Rural",yes,Structure(s),Medium,2,Probable,Point,1,N,N,1,1
34500,BIELD,31586,"Bield at Gambling Crag, Shap Rural",,Site of a bield (a wall built to give shelter to sheep) of Post Medieval date.,POST MEDIEVAL,POST MEDIEVAL,STRUCTURE,A small shelter built on the side of a natural outcrop consisting of two parrallel drystone walls in reasonable condition. Size: 7m by 15m and standing to 0.6m high. This site was identified by LUAU during field survey in 1995/6 Site No. H704 (S1931).,be8b8843-bf7a-495d-b45d-ba011adb2008,"Structural remains of a post-medieval  bield at Gambling Crag, Shap Rural",yes,Structure(s),Medium,2,Probable,Point,1,N,N,1,1
34519,VERMIN TRAP,32134,"Fox Bield, Mecklin Park, Nether Wasdale",,Site of a fox trap (a device used to trap or kill foxes) of Post Medieval date.,POST MEDIEVAL,POST MEDIEVAL,STRUCTURE,"This fox trap stands on a grassy fellside next to a rock outcrop, unusually not sited near a borran (a large boulder field, where there are often small caves and recesses where foxes breed and where they go to 'earth' if pursued) or even a boulder field.",2096a895-dfb4-4d28-9f74-080e0134a572,"Above-ground remains of a post-medieval fox trap at Mecklin Park, Nether Wasdale",yes,Above-ground feature(s),Medium,2,Probable,Point,NA,N,N,1,1
34535,VERMIN TRAP,32524,"Fox Bield, Ellergarth",,Site of a possible fox trap (a device used to trap or kill foxes) or goose bield (an enclosure or pen for confining geese) of unknown date.,UNCERTAIN,UNCERTAIN,STRUCTURE,A possible fox or goose bield. This site was located by Pete Rodgers during a field visit in November 2001 (S1819).,d07cb871-54e1-4c41-92bd-488cf39d1e83,"Above-ground remains of a fox bield at Ellergarth, Eskdale",yes,Structure(s),Medium,2,Probable,Point,NA,N,N,1,1
34538,BIELD,32713,"Bield at Low Kid Crag, Buttermere",,Bield (a wall built to give sheep shelter) of unknown date.,UNCERTAIN,UNCERTAIN,EARTHWORK,Curvilinear wall sectioning off a 300-400m corner of the field. The wall only survives as a single course below ground visible as an earthwork. There was no apparent relationship with existing field boundary walls. The wall may have been an animal stocka,fe2affb8-eee8-4e97-819e-2c8a4e97618b,"Above-ground remains of a bield at Low Kid Crag, Buttermere",yes,Above-ground feature(s),Medium,2,Probable,Point,1,N,N,1,1
34545,BIELD,32983,"Bields at Herdus, Ennerdale and Kinniside",,Bields (walls built to give shelter to sheep) of post medieval date.,POST MEDIEVAL,POST MEDIEVAL,STRUCTURE,Two small linear curving sheep shelters on the slopes of Herdus. This site was located during a field survey conducted by OAN in 2003 (S1889).,81d241ff-bf2b-43cf-979f-ef33dcb96aae,"Above-ground and structural remains of bields at Herdus, Ennerdale and Kinniside",yes,Structure(s) + above-ground feature(s),Medium,2,Probable,Point,1,N,N,1,1
34555,BIELD,36658,"Bield northeast of Crag Fell, Ennerdale",,This bield (wall built to give shelter to sheep) is situated on the hillside northeast of Crag Fell.,POST MEDIEVAL,POST MEDIEVAL,UNCERTAIN EVIDENCE,Bield.,801aae30-efdc-4047-a77a-a31fb4c364c4,"Structural remains of a bield of unknown date at Crag Fell, Ennerdale and Kinniside",yes,Structure(s),Medium,1,Possible,Point,1,N,N,1,1
34583,BIELD,34403,"Bield near Filter House, Howe Green Farm, Ullswater",,This bield (wall built to give shelter to sheep) is near Filter House North of Hayeswater Gill.,POST MEDIEVAL,POST MEDIEVAL,STRUCTURE,"This 3-sided rectangular bield measures 8.5m x 15.5m within the walls are roughly 1.5m wide and surviving up to 2.2m at their maximum height. The bield is open to the West and situated on a steep, uncleared South-facing slope (Lax, A. 1993).",6d349a28-9220-4f28-8be7-304a9a0c3e20,"Structural remains of a bield of unknown date at Filter House, Patterdale",yes,Below-ground feature(s),Medium,2,Probable,Point,1,N,N,1,1
34590,BIELD,34412,"Bield northeast of Hayeswater Lake, Howe Green Farm",,The remains of a bield (wall built to give shelter to sheep) wall.,POST MEDIEVAL,POST MEDIEVAL,STRUCTURE,Remains of a L-shaped bield wall or sheep fold wall located on a drumlin close to Hayeswater Lake. Built of boulder stones but now in poor condition and not surviving to any height.,597f2588-13d9-442c-8a2c-5594e317deef,"Structural remains of a bield of unknown date at Hayeswater Lake, Patterdale",yes,Structure(s),Medium,2,Probable,Point,1,N,N,1,1
34618,BIELD,34442,"Bield wall near Racecourse Hill (High Street), Howe Green Farm",,This bield (all built to give shelter to sheep) wall is situated near to Racecourse Hill.,POST MEDIEVAL,POST MEDIEVAL,STRUCTURE,Short bield wall roughly 4 metres in length.,9dfd1654-16ef-48e4-bb93-0809c70ae045,"Structural remains of a bield of unknown date at Racecourse Hill, Patterdale",yes,Structure(s),Medium,2,Probable,Point,1,N,N,1,1
34669,BIELD,34752,"Bield South of Yewbarrow, Wasdale Head",,"This small bield (wall built to give shelter to sheep) runs down the slope in a gentle arc, it is situated South of Yewbarrow over looking Wast Water.",POST MEDIEVAL,POST MEDIEVAL,STRUCTURE,This shelter wall is approximately 18m in length and runs downhill in a gentle arc. The site is situated close to the northern intake wall. The site is in a ruined condition (Wasdale Head Notebook 1).,40210704-37db-4791-9084-11c4c5cf7442,"Structural remains of a post-medieval sheepfold at Yewbarrow, Wasdale",yes,Structure(s),Medium,2,Probable,Point,1,N,N,1,1
34675,BIELD,34760,"Bield northeast of Yewbarrow, Wasdale Head",,Situated on the steep hillside East of Yewbarrow is the footings of a (wall built to give shelter to sheep).,POST MEDIEVAL,POST MEDIEVAL,STRUCTURE,This shelter wall measures 7m in length and is J-shaped. It is destroyed down to the footings except for a small 1m section which is 0.3m high (Wasdale Head Notebook 2).,f98d1c39-3f65-45ec-844d-a4abcc081331,"Structural remains of a post-medieval sheepfold at Yewbarrow, Wasdale",yes,Structure(s),Medium,2,Probable,Point,1,N,N,1,1
34679,BIELD,34764,"Bield East of Bell Rib, Wasdale Head",,This small section of bield (wall built to give shelter to sheep) is built up against a rock outcrop East of Bell Rib.,POST MEDIEVAL,POST MEDIEVAL,STRUCTURE,This 6m length of shelter wall is built in front of and butting onto an rock outcrop creating a sheltered space that is approximately 4m wide. The maximum height of the wall is 0.5m (Wasdale Head Notebook 2).,63ff213b-8b55-4428-b472-7f5ce7501e4d,"Structural remains of a post-medieval sheepfold at Yewbarrow, Wasdale",yes,Structure(s),Medium,2,Probable,Point,1,N,N,1,1
34686,BIELD,34776,"Bield near Black Beck, Wasdale Head",,Situated near Black Beck is a bield (wall built to give shelter to sheep).,POST MEDIEVAL,POST MEDIEVAL,STRUCTURE,This 8m long shelter wall is 1.5m in height and is in good condition (Wasdale Head Notebook 2).,c58e796a-c1f8-480e-8064-a0027479bf2a,"Structural remains of a post-medieval bield at Black Beck, Wasdale",yes,Structure(s),Medium,2,Probable,Point,1,N,N,1,1
34687,BIELD,34777,"Bield South of Black Beck, Wasdale Head",,South of Black Beck is a small bield (wall built to give shelter to sheep) that joins with two boulders.,POST MEDIEVAL,POST MEDIEVAL,STRUCTURE,This 8m length of shelter wall is over 1.5m high and fills the gap between two large boulders (Wasdale Head Notebook 2).,315141d1-34ff-45e2-a1c9-52168eded2e7,"Structural remains of a post-medieval bield at Black Beck, Wasdale",yes,Structure(s),Medium,2,Probable,Point,1,N,N,1,1
34690,BIELD,34780,"Bield East of Bull Crags, Wasdale Head",,This short stretch of dry-stone walling is located amid a large concentration of walls and shelters East of Bull Crags. It was probably a bield (wall built to give shelter to sheep).,POST MEDIEVAL,POST MEDIEVAL,STRUCTURE,"This shelter wall is located East of Bull Crags, it is just over 5m in length of straight walling that is probably no more than 1.5m in height. Set amid a large concentration of sheep folds and walls, it butts onto a large boulder (Wasdale Head Notebook",7b9c69ac-018d-4de6-8a9c-771620dfdfc0,"Structural remains of a post-medieval bield at Bull Crags, Wasdale",yes,Structure(s),Medium,2,Probable,Point,1,N,N,1,1
