shine_uid,shine_name,shine_form,significan,web_url,last_edit,FISH_Broad_Type,FISH_Type_Count,FISH_Rank,Aggregated_Period,Period_Rank,Status_MAx
21,"Unenclosed prehistoric hut circle settlement and cairnfield earthworks at Levens Moss, Bootle",Above-ground feature(s),Medium,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,DOMESTIC,1,5,UNCERTAIN,1,
22,"Undated earthwork enclosure at Washfold Point, Devoke Water",Above-ground feature(s),Low,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,DOMESTIC,1,5,UNCERTAIN,1,
23,"Enclosure and ridge and furrow earthworks near Coppice Springs, Eskdale",Above-ground feature(s),Low,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,AGRICULTURE AND SUBSISTENCE,1,11,UNCERTAIN,1,
25,Settlement and enclosure earthwork remains at Big Hill,Above-ground feature(s),Medium,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,DOMESTIC,2,5,UNCERTAIN,1,
26,"Earthwork of Prehistoric-Roman univallate enclosure, Out Scar",Above-ground feature(s),Medium,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,DOMESTIC,1,5,PREHISTORIC (pre-43AD),8,
30,"Earthwork enclosures southeast of Fellside, Caldbeck",Above-ground feature(s),Medium,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,DOMESTIC,1,5,UNCERTAIN,1,
31,Earthworks of unclear date or function at Naddles Crag,Above-ground feature(s),Medium,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,MONUMENT (BY FORM),1,3,UNCERTAIN,1,
33,Later Prehistoric settlement earthworks known as Thornholme Farm Settlement,Above-ground feature(s),High,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,DOMESTIC,1,5,PREHISTORIC (pre-43AD),8,
35,Earthworks of Later Prehistoric enclosed settlement of Glenconye Park,Above-ground feature(s),High,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,DOMESTIC,1,5,UNCERTAIN,1,
36,Later Prehistoric enclosed settlement earthworks at Broomhill Plantation,Above-ground feature(s),Medium,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,AGRICULTURE AND SUBSISTENCE,2,11,PREHISTORIC (pre-43AD),8,
37,Hawkshead Old Hall and Hawkshead Courthouse,Structure(s) + above + below-ground feature(s),Medium,http://ads.ahds.ac.uk/catalogue/,2009-04-21 14:39:33,DOMESTIC,2,5,MEDIEVAL (1066-1540),5,Listed Building
38,Extant Post Medieval buildings of Lawson Park Grange,Structure(s) + above + below-ground feature(s),Medium,http://ads.ahds.ac.uk/catalogue/,2009-04-21 14:39:44,AGRICULTURE AND SUBSISTENCE,1,11,MEDIEVAL (1066-1540),5,Listed Building
41,"Large Bronze Age cairn surviving as earthwork, Seatallan Cairn, Wasdale",Structure(s) + below-ground feature(s),Medium,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,"RELIGIOUS, RITUAL AND FUNERARY",2,7,PREHISTORIC (pre-43AD),8,
44,Earthwork remains of Bronze Age round cairn at Whiteoak Moss,Above-ground feature(s),Medium,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,"RELIGIOUS, RITUAL AND FUNERARY",1,7,PREHISTORIC (pre-43AD),8,
45,"Possible prehistoric cairn earthwork and Medieval boundary stone structure East of Blea Tarn, Borrowdale",Above-ground feature(s),Low,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,MONUMENT (BY FORM),1,3,MEDIEVAL (1066-1540),5,
46,"Earthwork remains of prehistoric cairn on the summit of Binsey, Ireby and Uldale",Above-ground feature(s),Low,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,"RELIGIOUS, RITUAL AND FUNERARY",1,7,UNCERTAIN,1,
48,Excavated prehistoric barrow earthworks at Woundale Raise Barrow,Above-ground feature(s),Low,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,"RELIGIOUS, RITUAL AND FUNERARY",1,7,PREHISTORIC (pre-43AD),8,
49,"Earthwork remains of prehistoric cairn at Low Raise,  Bampton",Above-ground feature(s),Low,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,"RELIGIOUS, RITUAL AND FUNERARY",1,7,PREHISTORIC (pre-43AD),8,
50,"Earthworks of prehistoric barrows, cairns and cairnfield at Lath Rigg, southwest of Beckstones",Above-ground feature(s),Medium,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,"RELIGIOUS, RITUAL AND FUNERARY",1,7,PREHISTORIC (pre-43AD),8,
51,"Possible earthworks of cairns at Chapel Hill, South of Muncaster Tarn",Above-ground feature(s),Low,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,"RELIGIOUS, RITUAL AND FUNERARY",1,7,PREHISTORIC (pre-43AD),8,
52,"Agricultural earthwork remains of possible prehistoric and Medieval clearance, cultivation and enclosure at Eller Beck, Muncaster Fell",Above-ground feature(s),Medium,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,AGRICULTURE AND SUBSISTENCE,1,11,UNCERTAIN,1,
54,"Earthwork remains of Bronze Age cairns at White Borran, Blawith",Above-ground feature(s),Low,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,"RELIGIOUS, RITUAL AND FUNERARY",1,7,PREHISTORIC (pre-43AD),8,
56,Possible earthwork remains of possible cairns and settlement of prehistoric dates on Heathwaite Fell,Above-ground feature(s),Medium,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,"RELIGIOUS, RITUAL AND FUNERARY",1,7,PREHISTORIC (pre-43AD),8,
57,"Earthwork remains of Bronze Age agricultural clearance activities, Heathwaite Fell",Above-ground feature(s),Medium,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,"RELIGIOUS, RITUAL AND FUNERARY",1,7,PREHISTORIC (pre-43AD),8,
58,Earthwork remains of prehistoric date known as Rattan Haw Cairn,Above-ground feature(s),High,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,"RELIGIOUS, RITUAL AND FUNERARY",1,7,PREHISTORIC (pre-43AD),8,
59,Earthwork remains of prehistoric Tarn Rigg Cairn,Above-ground feature(s),Medium,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,"RELIGIOUS, RITUAL AND FUNERARY",1,7,PREHISTORIC (pre-43AD),8,
60,Series of Bronze Age cairns surviving as earthworks at Tarn Hill,Above-ground feature(s),Medium,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,"RELIGIOUS, RITUAL AND FUNERARY",1,7,PREHISTORIC (pre-43AD),8,
62,Alleged site of Bronze Age cairn at Monk Coniston,Above-ground feature(s),Medium,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,"RELIGIOUS, RITUAL AND FUNERARY",1,7,PREHISTORIC (pre-43AD),8,
64,"Earthwork remains of possible cairn and field system banks of uncertain age, Cockle Fell area",Above-ground feature(s),Medium,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,AGRICULTURE AND SUBSISTENCE,1,11,UNCERTAIN,1,
66,"Two clearance cairns and banks surviving as earthworks of possible prehistoric dates at Mile Crags, Bampton Common",Above-ground feature(s),Medium,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,AGRICULTURE AND SUBSISTENCE,1,11,PREHISTORIC (pre-43AD),8,
68,"Pair of undated round cairns and possible quarrying activity surviving as earthworks, Inscar, Thrimby",Above-ground feature(s),Medium,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,INDUSTRIAL,1,10,UNCERTAIN,1,
69,"Pair of clearance cairns of uncertain age with adjacent ridge and furrow all as earthworks at High Knipe, Bampton",Above-ground feature(s),Medium,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,"RELIGIOUS, RITUAL AND FUNERARY",1,7,UNCERTAIN,1,
70,"Round cairn of uncertain age earthwork at Knipe Scar, Bampton",Above-ground feature(s),High,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,"RELIGIOUS, RITUAL AND FUNERARY",1,7,UNCERTAIN,1,
71,"Funerary cairn and agricultural clearance cairnfield and possible traces of settlement of presumed prehistoric age, Setterah Sike area, Bampton",Above-ground feature(s),Medium,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,AGRICULTURE AND SUBSISTENCE,1,11,PREHISTORIC (pre-43AD),8,
72,"Extensive area of presumed prehistoric settlement, agricultural and religious activities, including settlement, cairnfield and lynchet earthworks, as well as series of specific burial cairn forms located at North of Bampton Common",Above-ground feature(s),High,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,AGRICULTURE AND SUBSISTENCE,1,11,UNCERTAIN,1,
75,"Earthwork remains of Medieval monastic grange complex at Bishopspot Grange, Mungrisdale",Above-ground feature(s),High,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,AGRICULTURE AND SUBSISTENCE,1,11,MEDIEVAL (1066-1540),5,
76,Earthwork remains of uncertain hut circles and agricultural clearance cairnfield on northeast slopes of Carrock Fell,Above-ground feature(s),High,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,"RELIGIOUS, RITUAL AND FUNERARY",1,7,UNCERTAIN,1,
77,"Earthworks of moat surrounding site of Medieval moated manor house, southwest of Hall Bank, Embleton",Above + below-ground feature(s),High,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,DOMESTIC,2,5,MEDIEVAL (1066-1540),5,
78,"Possible Medieval chapel or Post Medieval summerhouse ruined building remains on Saint Herbert's Island, Derwentwater",Structure(s) + below-ground feature(s),High,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,"GARDENS, PARKS AND URBAN SPACES",1,9,MEDIEVAL (1066-1540),5,
79,"Possible remains of Medieval bloomery site on Rampsholme Island, Derwentwater",Degraded below-ground feature(s),Medium,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,INDUSTRIAL,1,10,MEDIEVAL (1066-1540),5,
80,"Remains of Roman road earthwork, associated ditches and quarry pits below-ground remains from Troutbeck Roman camps",Above + below-ground feature(s),High,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,TRANSPORT,1,6,ROMANO-BRITISH (43-410 AD),7,Scheduled Monument
81,"Slight earthwork remains of Brownrigg circular enclosure, Matterdale",Above-ground feature(s),High,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,MONUMENT (BY FORM),1,3,UNCERTAIN,1,
82,"Earthworks of agricultural clearance cairn, religious round cairn and cairnfields, as settlement remains of Bronze Age date, near the Whoap Burn and Calder junction",Above-ground feature(s),High,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,"RELIGIOUS, RITUAL AND FUNERARY",1,7,PREHISTORIC (pre-43AD),8,Scheduled Monument
83,"Earthwork remains of a barrow, previously excavated, northeast of Friar Well spring",Above-ground feature(s),Medium,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,"RELIGIOUS, RITUAL AND FUNERARY",1,7,UNCERTAIN,1,
84,"Earthwork remains of cairnfield and enclosure of uncertain date, within mature forestry plantation near High Gillerthwaite",Above-ground feature(s),Medium,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,"RELIGIOUS, RITUAL AND FUNERARY",1,7,UNCERTAIN,1,Scheduled Monument
85,"Earthwork remains of cairnfield of uncertain date, within mature forestry plantation at Gillerthwaite, Ennerdale Forest",Above-ground feature(s),Medium,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,"RELIGIOUS, RITUAL AND FUNERARY",1,7,UNCERTAIN,1,Scheduled Monument
86,"Earthwork remains of cairnfield of uncertain date and prehistoric enclosure, within mature forestry plantations above River Liza, Ennerdale",Above-ground feature(s),Medium,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,"RELIGIOUS, RITUAL AND FUNERARY",1,7,UNCERTAIN,1,Scheduled Monument
88,"Series of stone axe factory locations of Neolithic date known as the Glaramara stone axe factory, Borrowdale",Above-ground feature(s),High,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,INDUSTRIAL,1,10,PREHISTORIC (pre-43AD),8,
89,Charcoal and slag heap earthworks indicating the presence of a bloomery - likely Medieval in date,Above-ground feature(s),High,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,INDUSTRIAL,1,10,MEDIEVAL (1066-1540),5,
90,"Series of stone axe factory locations of Neolithic date known as the Borrowdale/Scafell Pike stone axe factory, Borrowdale",Above-ground feature(s),High,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,INDUSTRIAL,2,10,PREHISTORIC (pre-43AD),8,
91,Slight earthwork remains of a possible Roman milefortlet recorded in the Waberthwaite area,Above-ground feature(s),Medium,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,DEFENCE,4,4,ROMANO-BRITISH (43-410 AD),7,
100,"Prehistoric field clearance cairns, cairnfield and possible field system banks of presumed prehistoric date, East of the Whitrow Beck, Waberthwaite Fell",Above-ground feature(s),Medium,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,"RELIGIOUS, RITUAL AND FUNERARY",1,7,PREHISTORIC (pre-43AD),8,
103,"Medieval bloomery and farmstead earthwork remains and demonstrated below-ground features, Rabbit How",Above + below-ground feature(s),Medium,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,AGRICULTURE AND SUBSISTENCE,1,11,MEDIEVAL (1066-1540),5,
107,"Earthwork remains of a possible homestead of Bronze Age date at Hare Crags, Torver",Degraded below-ground feature(s),High,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,MONUMENT (BY FORM),2,3,PREHISTORIC (pre-43AD),8,
108,Earthwork remains of bloomery slag heap and below-ground remains recorded by geophysical survey as Cinderstone Beck bloomery site,Above-ground feature(s),High,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,INDUSTRIAL,2,10,MEDIEVAL (1066-1540),5,
112,"Earthworks of Medieval lynchets and ridge and furrow cultivation, southwest of Sleddale Grange",Above-ground feature(s),High,http://ads.ahds.ac.uk/catalogue/,2009-04-21 15:20:15,AGRICULTURE AND SUBSISTENCE,2,11,MEDIEVAL (1066-1540),5,
113,"Pair of Later Prehistoric enclosed hut circle settlements surviving as earthwork enclosures and hut circles, Lingmell End, Kentmere",Above-ground feature(s),Medium,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,DOMESTIC,2,5,PREHISTORIC (pre-43AD),8,
114,"Earthwork remains of Medieval building and platforms, Sleddale Fell House, Longsleddale",Above-ground feature(s),Medium,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,DOMESTIC,1,5,UNCERTAIN,1,
117,"Ruined structure Post Medieval chapel of Blawith, Blawith and Subberthwaite",Degraded below-ground feature(s),Medium,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,"RELIGIOUS, RITUAL AND FUNERARY",1,7,POST-MEDIEVAL (1540-1900),4,
119,Structure remains of the Post Medieval Scroggs Nonconformist Chapel (no burial ground?),Structure(s),Medium,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,"RELIGIOUS, RITUAL AND FUNERARY",1,7,POST-MEDIEVAL (1540-1900),4,
120,"Earthworks of prehistoric hut circles and agricultural clearance cairnfield, and unscheduled funerary cairn forms, at Spunham, Heathwaite Fell",Above-ground feature(s),High,http://ads.ahds.ac.uk/catalogue/,2009-04-21 15:26:15,"RELIGIOUS, RITUAL AND FUNERARY",1,7,PREHISTORIC (pre-43AD),8,Scheduled Monument
121,"Surroundings of a robbed ring cairn earthwork of the Bronze Age, southeast of Great Burney",Above-ground feature(s),High,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,MONUMENT (BY FORM),1,3,PREHISTORIC (pre-43AD),8,Scheduled Monument
122,Possible below ground archaeology of the Greenhead Medieval manor house,Below-ground feature(s),Medium,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,DOMESTIC,2,5,MEDIEVAL (1066-1540),5,
124,"Post Medieval extant church, possibly on the site of a Medieval predecessor, with potential",Below-ground feature(s),Medium,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,"RELIGIOUS, RITUAL AND FUNERARY",2,7,POST-MEDIEVAL (1540-1900),4,Listed Building
125,"Extensive area of cairns, round cairn and cairnfield earthworks across Moor Divock of Bronze Age and general prehistoric dates",Above-ground feature(s),High,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,"RELIGIOUS, RITUAL AND FUNERARY",2,7,PREHISTORIC (pre-43AD),8,Scheduled Monument
126,"Structure and earthworks of small, probably Medieval, farmsteads at Blea Moss, Langdale",Structure(s) + above-ground feature(s),Medium,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,AGRICULTURE AND SUBSISTENCE,2,11,MEDIEVAL (1066-1540),5,
127,"Earthwork remains of Little Langdale bloomery or forge, Little Skelwith",Structure(s) + above-ground feature(s),Medium,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,INDUSTRIAL,2,10,POST-MEDIEVAL (1540-1900),4,
134,"Possible below-ground archaeological remains of Post Medieval Spark Bridge bloomery, Forge",Below-ground feature(s),Medium,http://ads.ahds.ac.uk/catalogue/,2009-04-21 14:59:39,INDUSTRIAL,2,10,POST-MEDIEVAL (1540-1900),4,
135,Structural remains of Medieval to Post Medieval Coniston Forge,Structure(s) + below-ground feature(s),Medium,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,INDUSTRIAL,1,10,MEDIEVAL (1066-1540),5,
136,"Prehistoric standing stone structure and settlement site earthworks southwest of Highgate Farm, Hutton",Structure(s) + above-ground feature(s),High,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,"RELIGIOUS, RITUAL AND FUNERARY",1,7,PREHISTORIC (pre-43AD),8,
137,"Prehistoric settlement site earthworks East of Highgate Farm, Hutton",Above-ground feature(s),High,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,DOMESTIC,1,5,PREHISTORIC (pre-43AD),8,
138,Earthwork remains of uncertain bloomery and enclosure banks at Smithy Beck,Above-ground feature(s),Medium,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,INDUSTRIAL,2,10,MEDIEVAL (1066-1540),5,Scheduled Monument
139,Post Medieval house and garden of Rydal Mount,Structure(s),High,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,"GARDENS, PARKS AND URBAN SPACES",2,9,POST-MEDIEVAL (1540-1900),4,Register of Parks and Gardens
140,Medieval period earthworks of a rectangular enclosure at Lowther Castle,Above-ground feature(s),Medium,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,MONUMENT (BY FORM),1,3,MEDIEVAL (1066-1540),5,Register of Parks and Gardens
141,"Prehistoric hut circle settlement, cairnfield and field system earthworks North of Blue Quarry, Shap",Above-ground feature(s),Medium,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,AGRICULTURE AND SUBSISTENCE,1,11,PREHISTORIC (pre-43AD),8,
142,"Possible earthworks of Roman period settlement at Rosgill Hall Wood, Shap Rural CP",Above + below-ground feature(s),High,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,DOMESTIC,1,5,ROMANO-BRITISH (43-410 AD),7,
145,Earthwork remains of a prehistoric cairnfield on Heathwaite Fell,Above-ground feature(s),Medium,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,"RELIGIOUS, RITUAL AND FUNERARY",1,7,PREHISTORIC (pre-43AD),8,
146,Double ditched enclosure cropmark and possible earthwork site at Parton,Above + below-ground feature(s),High,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,MONUMENT (BY FORM),1,3,UNCERTAIN,1,
147,Ruins and earthworks of uncertain age at Cockrigg Enclosures,Structure(s) + above-ground feature(s),Medium,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,MONUMENT (BY FORM),1,3,UNCERTAIN,1,
148,Prehistoric cairnfield and field bank earthworks on Birker Fell,Above-ground feature(s),Medium,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,"RELIGIOUS, RITUAL AND FUNERARY",1,7,PREHISTORIC (pre-43AD),8,Scheduled Monument
151,"Enclosure and field system earthworks of uncertain date, presumed prehistoric, at Waberthwaite Fell",Above-ground feature(s),Medium,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,AGRICULTURE AND SUBSISTENCE,1,11,UNCERTAIN,1,
152,"Settlement and field system earthworks of uncertain date, possibly prehistoric, at Waberthwaite",Above-ground feature(s),Medium,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,AGRICULTURE AND SUBSISTENCE,1,11,UNCERTAIN,1,
153,"Enclosure of uncertain date and purposed recorded as an earthwork, Waberthwaite",Above-ground feature(s),Medium,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,DOMESTIC,2,5,UNCERTAIN,1,
156,Langdale Neolithic stone axe factory sites,Above + below-ground feature(s),High,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,INDUSTRIAL,2,10,PREHISTORIC (pre-43AD),8,
157,Earthwork remains of possible Roman or Medieval enclosures and possible cultivation traces,Above-ground feature(s),Medium,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,AGRICULTURE AND SUBSISTENCE,2,11,MEDIEVAL (1066-1540),5,
159,"Medieval park earthwork remains including boundary ditch, fishpond and ridge and furrow, southeast of Setterahpark Wood",Above-ground feature(s),High,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,AGRICULTURE AND SUBSISTENCE,1,11,MEDIEVAL (1066-1540),5,
160,"Lynchets and ridge and furrow earthwork remains of uncertain age, South of Knipescar Common",Above-ground feature(s),Medium,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,AGRICULTURE AND SUBSISTENCE,2,11,UNCERTAIN,1,
163,Bloomery earthworks of slag heap of presumed Medieval date within plantation at Satterthwaite,Above-ground feature(s),Medium,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,INDUSTRIAL,1,10,MEDIEVAL (1066-1540),5,
164,"Earthwork remains of uncertain date representing remains of possible buildings, cairns and enclosures, Towtop Kirk area",Above-ground feature(s),Medium,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,"RELIGIOUS, RITUAL AND FUNERARY",1,7,MEDIEVAL (1066-1540),5,
167,"Glaramara South peak Neolithic stone axe factory sites, Eskdale",Above + below-ground feature(s),High,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,INDUSTRIAL,1,10,PREHISTORIC (pre-43AD),8,
168,"Borrowdale Neolithic stone axe factory sites, Eskdale",Above + below-ground feature(s),High,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,INDUSTRIAL,1,10,PREHISTORIC (pre-43AD),8,
169,"Borrowdale Neolithic stone axe factory sites, Eskdale",Above + below-ground feature(s),High,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,INDUSTRIAL,1,10,PREHISTORIC (pre-43AD),8,
170,"Borrowdale Neolithic stone axe factory sites, Eskdale",Above + below-ground feature(s),High,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,INDUSTRIAL,2,10,PREHISTORIC (pre-43AD),8,
171,"Three prehistoric cairn of unspecified type recorded as earthworks at Rough Crag North, Birkby Fell",Above-ground feature(s),Medium,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,"RELIGIOUS, RITUAL AND FUNERARY",1,7,PREHISTORIC (pre-43AD),8,
172,"Prehistoric round cairn earthworks at Linbeck Gill West, Birkby Fell",Above-ground feature(s),Medium,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,"RELIGIOUS, RITUAL AND FUNERARY",1,7,PREHISTORIC (pre-43AD),8,
173,"Group of 11 prehistoric round cairns recorded as earthworks South of Cropple How Plantation, Birkby Fell",Above-ground feature(s),Medium,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,"RELIGIOUS, RITUAL AND FUNERARY",1,7,PREHISTORIC (pre-43AD),8,
174,"Remains of Medieval farmstead standing ruins and earthworks, Tonguesdale Moss",Structure(s) + above-ground feature(s),Medium,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,AGRICULTURE AND SUBSISTENCE,1,11,MEDIEVAL (1066-1540),5,
175,Earthwork remains of Rigg Beck settlement site of uncertain age,Above-ground feature(s),Low,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,DOMESTIC,1,5,UNCERTAIN,1,
176,"Earthwork enclosure, track way and walls of uncertain age, Birkby Fell west",Above-ground feature(s),Medium,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,TRANSPORT,1,6,UNCERTAIN,1,
178,"Earthwork remains of enclosure, hut circle and sheep fold of uncertain, prehistoric and Post Medieval dates respectively at Bowderdale",Above-ground feature(s),Medium,http://ads.ahds.ac.uk/catalogue/,2009-03-26 10:17:20,DOMESTIC,4,5,PREHISTORIC (pre-43AD),8,
